date,dailyCases,air_temp,dew_point,RH,Rt
2020-01-23,0,10.26388888888889,1.986111111111111,57.439180335620094,NA
2020-01-24,0,14.680555555555555,12.472222222222221,87.06797802051922,NA
2020-01-25,0,9.791666666666666,3.805555555555556,68.17951454237563,NA
2020-01-26,0,7.916666666666667,2.3333333333333335,71.43100482297373,NA
2020-01-27,0,10.291666666666666,7.805555555555555,85.38583247561316,NA
2020-01-28,0,10.027777777777779,4.25,74.05203726753408,NA
2020-01-29,0,6.708333333333333,3.861111111111111,82.95756972756367,NA
2020-01-30,0,10.625,7.013888888888889,80.41497953495741,NA
2020-01-31,0,9.666666666666666,7.5,87.14206687666817,NA
2020-02-01,0,7.041666666666667,6.319444444444445,95.27984784596694,NA
2020-02-02,0,9.194444444444445,3.986111111111111,75.28624868617779,NA
2020-02-03,0,12.23611111111111,5.652777777777778,69.02921070423945,NA
2020-02-04,0,15.055555555555555,12.472222222222221,86.07979668069486,NA
2020-02-05,0,17.27777777777778,15.027777777777779,87.53278742281495,NA
2020-02-06,0,20.916666666666668,19.51388888888889,91.8789734527019,NA
2020-02-07,0,10.73611111111111,4.402777777777778,66.82743055669265,NA
2020-02-08,0,7.625,1.0694444444444444,70.19766440144633,NA
2020-02-09,0,11.625,4.777777777777778,66.57055753844999,NA
2020-02-10,0,15.166666666666666,11.13888888888889,78.49894051259845,NA
2020-02-11,0,19.458333333333332,17.041666666666668,87.23246740907426,NA
2020-02-12,0,20.73611111111111,18.51388888888889,88.0844138278142,NA
2020-02-13,0,20.579710144927535,18.768115942028984,89.64056329718419,NA
2020-02-14,0,12.097222222222221,7.388888888888889,75.24190731636025,NA
2020-02-15,0,10.083333333333334,1.1666666666666667,55.977744312938455,NA
2020-02-16,0,10.86111111111111,8.972222222222221,88.65179665651736,NA
2020-02-17,0,13.222222222222221,12.569444444444445,96.01414026322136,NA
2020-02-18,0,17.73611111111111,16.77777777777778,94.63643782658009,NA
2020-02-19,0,20.444444444444443,16.86111111111111,81.98901918015326,NA
2020-02-20,0,14.527777777777777,13.333333333333334,92.88048840380146,NA
2020-02-21,0,6.611111111111111,2.25,76.01809199165544,NA
2020-02-22,0,5.361111111111111,-2.9166666666666665,60.36788401669905,NA
2020-02-23,0,8.083333333333334,0.9305555555555556,66.66538627494224,NA
2020-02-24,0,15.291666666666666,8.805555555555555,66.19258819520488,NA
2020-02-25,0,17.77777777777778,16.680555555555557,93.66490142032886,NA
2020-02-26,0,16.34722222222222,15.527777777777779,95.05834393936708,NA
2020-02-27,0,7.75,0.9722222222222222,63.63958304946793,NA
2020-02-28,0,7.194444444444445,-0.6666666666666666,62.350772292059425,NA
2020-02-29,0,10.76388888888889,1.2638888888888888,55.13513578625816,NA
2020-03-01,0,10,1.4305555555555556,63.001675692178885,NA
2020-03-02,0,13.930555555555555,7.319444444444445,66.03933180853917,NA
2020-03-03,0,19.444444444444443,16.041666666666668,81.67786937831848,NA
2020-03-04,0,18.86111111111111,17.958333333333332,94.62571823546907,NA
2020-03-05,0,14.902777777777779,14.13888888888889,95.29959190707407,NA
2020-03-06,0,13.333333333333334,6.902777777777778,72.31721393438694,NA
2020-03-07,0,9.819444444444445,-0.6944444444444444,49.27026403392627,NA
2020-03-08,0,9.708333333333334,3.9722222222222223,71.31471516283388,NA
2020-03-09,0,15.152777777777777,8.5,67.80434133341517,NA
2020-03-10,0,18.15277777777778,12.527777777777779,71.28638686481297,NA
2020-03-11,0,19.055555555555557,14.527777777777779,76.79608449193636,NA
2020-03-12,0,19.61111111111111,15.48611111111111,79.69243930198968,NA
2020-03-13,0,19.166666666666668,15.75,82.81226250176468,NA
2020-03-14,0,20.38888888888889,15.055555555555555,75.3069064015418,NA
2020-03-15,0,21.48611111111111,14.444444444444445,66.95165307643828,NA
2020-03-16,0,20.11111111111111,16.083333333333332,78.43334876767398,NA
2020-03-17,0,20.305555555555557,17.61111111111111,85.84332374365582,NA
2020-03-18,0,22.180555555555557,17.416666666666668,77.46149665133149,NA
2020-03-19,0,21.375,16.5,76.9149428856916,NA
2020-03-20,0,21.430555555555557,16.125,74.59421994573584,NA
2020-03-21,0,21.13888888888889,16.694444444444443,78.34770316565768,NA
2020-03-22,0,21.63888888888889,16.333333333333332,73.73966438092303,NA
2020-03-23,0,20.944444444444443,16.76388888888889,78.99071940686613,NA
2020-03-24,0,22.569444444444446,17.444444444444443,75.01107916096295,NA
2020-03-25,0,24.09722222222222,17.73611111111111,71.04445270561742,NA
2020-03-26,0,22.65277777777778,16.38888888888889,71.0484427626467,NA
2020-03-27,0,22.666666666666668,17.916666666666668,76.72044813627599,NA
2020-03-28,0,22.694444444444443,18.38888888888889,79.96246332920043,NA
2020-03-29,0,24.23611111111111,19.25,76.57221678206675,NA
2020-03-30,0,22.958333333333332,15.055555555555555,67.4469134923394,NA
2020-03-31,1,20.444444444444443,16.27777777777778,78.37783415134952,NA
2020-04-01,0,14.652777777777779,6.055555555555555,58.527614897621824,NA
2020-04-02,1,13.444444444444445,6.263888888888889,66.70441946607005,1.132668615706064
2020-04-03,1,15.472222222222223,7.708333333333334,66.1767122702418,1.1279668255753488
2020-04-04,0,18.583333333333332,9.916666666666666,63.17072845361535,1.1229990126933205
2020-04-05,0,19.916666666666668,13.916666666666666,70.15883647039837,1.117727970945052
2020-04-06,1,19.97222222222222,13.777777777777779,71.6497584705229,1.1121234047328712
2020-04-07,1,20.61111111111111,15.222222222222221,73.56174781327871,1.1061638791957145
2020-04-08,1,23.5,19.208333333333332,78.0594753119882,1.0998383168019135
2020-04-09,2,25.98611111111111,19.666666666666668,71.64020543672467,1.093147004105695
2020-04-10,7,19.875,10.86111111111111,61.112413618391656,1.0861021218176794
2020-04-11,0,14.694444444444445,2.2916666666666665,47.997669450016225,1.0787278526288213
2020-04-12,0,19.01388888888889,14.875,77.89615773875354,1.0710601422247368
2020-04-13,0,25.041666666666668,18.416666666666668,69.62569525416855,1.063146182636434
2020-04-14,6,20.72222222222222,17.041666666666668,80.62498076628023,1.0550436563884251
2020-04-15,0,17.84722222222222,12.972222222222221,76.25442362720496,1.0468197383132616
2020-04-16,4,16.23611111111111,4.583333333333333,47.068489951669726,1.0385498190378442
2020-04-17,2,17.13888888888889,10.347222222222221,66.93954032363767,1.0303159076488402
2020-04-18,0,20.84722222222222,17.569444444444443,83.079634398799,1.022204698405327
2020-04-19,4,21.930555555555557,19.291666666666668,85.93497603125128,1.014305340954691
2020-04-20,3,20.61111111111111,16.88888888888889,81.08023372335857,1.0067070170382484
2020-04-21,0,19.88888888888889,11.61111111111111,65.44236445969219,0.9994964770589433
2020-04-22,6,18.75,9.597222222222221,61.688018916955464,0.9927557104971745
2020-04-23,7,18.34722222222222,12.76388888888889,72.35048593989062,0.986559909922305
